mkt_date,mkt_he,dacp_flag,file_ver,created_at,ont_cap,ont_ene,int_nuc_cap,int_nuc_out,int_nuc_off,int_nuc_sch,int_gas_cap,int_gas_out,int_gas_off,int_gas_sch,int_hyd_cap,int_hyd_out,int_hyd_for,int_hyd_off,int_hyd_sch,int_win_cap,int_win_out,int_win_for,int_win_sch,int_sol_cap,int_sol_out,int_sol_for,int_sol_sch,int_bio_cap,int_bio_out,int_bio_off,int_bio_sch,int_oth_cap,int_oth_out,int_oth_off,int_oth_sch,int_tot_out,int_tot_off,int_tot_sch,imp_man_off,imp_man_sch,imp_min_off,imp_min_sch,imp_mic_off,imp_mic_sch,imp_new_off,imp_new_sch,imp_que_off,imp_que_sch,imp_tot_off,imp_tot_sch,imp_tot_est,imp_tot_cap,ont_bot_cap,ont_reg,ont_tot_sup,ont_for_dem,ont_peak_dem,ont_avg_dem,ont_emb_wind,ont_emb_sol,ont_disp_cap,ont_disp_bid,ont_disp_on,ont_disp_off,ont_hdr_bid,ont_hdr_sch,ont_hdr_cur,exp_man_bid,exp_man_sch,exp_min_bid,exp_min_sch,exp_mic_bid,exp_mic_sch,exp_new_bid,exp_new_sch,exp_que_bid,exp_que_sch,exp_tot_bid,exp_tot_sch,exp_tot_cap,grh_tot,grh_min_10n,grh_min_10s,grh_lfu,grh_add,total_req,cap_excess,energy_excess,offered_cap_excess,res_not_sch,imp_not_sch
2022-09-24,1,,,2022-08-21T15:36:49,37459,21897,13081,4125,,,10679,3915,,,7946,1848,3929,,,4943,3732,1211,,478,478,0,,315,293,,,17,0,,,14831,,,,,,,,,,,,,,,2000,100,1000,100,23627,12408,,12408,,,513,125,,,0,,,,,,,,,,,,,,,0,1418,945,236,0,161,13862,9765,9614,,,
2022-09-24,2,,,2022-08-21T15:36:49,37459,21659,13081,4125,,,10679,3915,,,7946,1848,3691,,,4943,3732,1211,,478,478,0,,315,293,,,17,0,,,14831,,,,,,,,,,,,,,,2000,100,1000,100,23627,12031,,12031,,,513,125,,,0,,,,,,,,,,,,,,,0,1418,945,236,0,161,13485,10142,9753,,,
2022-09-24,3,,,2022-08-21T15:36:49,37459,21625,13081,4125,,,10679,3915,,,7946,1848,3657,,,4943,3732,1211,,478,478,0,,315,293,,,17,0,,,14831,,,,,,,,,,,,,,,2000,100,1000,100,23627,11828,,11828,,,513,125,,,0,,,,,,,,,,,,,,,0,1418,945,236,0,161,13282,10345,9922,,,
2022-09-24,4,,,2022-08-21T15:36:49,37459,21645,13081,4125,,,10679,3915,,,7946,1848,3677,,,4943,3732,1211,,478,478,0,,315,293,,,17,0,,,14831,,,,,,,,,,,,,,,2000,100,1000,100,23627,11781,,11781,,,513,125,,,0,,,,,,,,,,,,,,,0,1418,945,236,0,161,13235,10392,9989,,,
2022-09-24,5,,,2022-08-21T15:36:49,37459,21668,13081,4125,,,10679,3915,,,7946,1848,3700,,,4943,3732,1211,,478,478,0,,315,293,,,17,0,,,14831,,,,,,,,,,,,,,,2000,100,1000,100,23627,11953,,11953,,,513,125,,,0,,,,,,,,,,,,,,,0,1418,945,236,0,161,13407,10220,9840,,,
2022-09-24,6,,,2022-08-21T15:36:49,37459,21824,13081,4125,,,10679,3915,,,7946,1848,3856,,,4943,3732,1211,,478,478,0,,315,293,,,17,0,,,14831,,,,,,,,,,,,,,,2000,100,1000,100,23627,12497,,12497,,,513,125,,,0,,,,,,,,,,,,,,,0,1418,945,236,0,161,13951,9677,9453,,,
2022-09-24,7,,,2022-08-21T15:36:49,37459,22007,13081,4125,,,10679,3915,,,7946,1851,4039,,,4943,3732,1211,,478,478,0,,315,293,,,17,0,,,14834,,,,,,,,,,,,,,,2000,100,1000,100,23624,13033,,13033,,,513,125,,,0,,,,,,,,,,,,,,,0,1418,945,236,0,161,14487,9137,9099,,,
2022-09-24,8,,,2022-08-21T15:36:49,37459,21805,13081,4125,,,10679,3915,,,7946,1851,3830,,,4943,3732,1211,,478,478,0,,315,286,,,17,0,,,14827,,,,,,,,,,,,,,,2000,100,1000,100,23631,13708,,13708,,,513,125,,,0,,,,,,,,,,,,,,,0,1418,945,236,0,161,15162,8469,8222,,,
2022-09-24,9,,,2022-08-21T15:36:49,37459,21833,13081,4125,,,10679,3915,,,7946,1851,3853,,,4943,3732,1211,,478,478,0,,315,281,,,17,0,,,14822,,,,,,,,,,,,,,,2000,100,1000,100,23636,14531,,14531,,,513,125,,,0,,,,,,,,,,,,,,,0,1418,945,236,0,161,15984,7652,7428,,,
2022-09-24,10,,,2022-08-21T15:36:49,37459,21880,13081,4125,,,10679,3915,,,7946,1851,3900,,,4943,3732,1211,,478,478,0,,315,281,,,17,0,,,14822,,,,,,,,,,,,,,,2000,100,1000,100,23636,14983,,14983,,,513,125,,,0,,,,,,,,,,,,,,,0,1418,945,236,0,161,16437,7199,7022,,,
