mkt_date,mkt_he,dacp_flag,file_ver,created_at,ont_cap,ont_ene,int_nuc_cap,int_nuc_out,int_nuc_off,int_nuc_sch,int_gas_cap,int_gas_out,int_gas_off,int_gas_sch,int_hyd_cap,int_hyd_out,int_hyd_for,int_hyd_off,int_hyd_sch,int_win_cap,int_win_out,int_win_for,int_win_sch,int_sol_cap,int_sol_out,int_sol_for,int_sol_sch,int_bio_cap,int_bio_out,int_bio_off,int_bio_sch,int_oth_cap,int_oth_out,int_oth_off,int_oth_sch,int_tot_out,int_tot_off,int_tot_sch,imp_man_off,imp_man_sch,imp_min_off,imp_min_sch,imp_mic_off,imp_mic_sch,imp_new_off,imp_new_sch,imp_que_off,imp_que_sch,imp_tot_off,imp_tot_sch,imp_tot_est,imp_tot_cap,ont_bot_cap,ont_reg,ont_tot_sup,ont_for_dem,ont_peak_dem,ont_avg_dem,ont_emb_wind,ont_emb_sol,ont_disp_cap,ont_disp_bid,ont_disp_on,ont_disp_off,ont_hdr_bid,ont_hdr_sch,ont_hdr_cur,exp_man_bid,exp_man_sch,exp_min_bid,exp_min_sch,exp_mic_bid,exp_mic_sch,exp_new_bid,exp_new_sch,exp_que_bid,exp_que_sch,exp_tot_bid,exp_tot_sch,exp_tot_cap,grh_tot,grh_min_10n,grh_min_10s,grh_lfu,grh_add,total_req,cap_excess,energy_excess,offered_cap_excess,res_not_sch,imp_not_sch
2022-06-01,1,,,2022-06-01T23:55:16,37250,24762,13081,3460,9807,9641,10679,1752,5085,361,7737,751,5283,6607,4387,4943,2904,2039,1812,478,478,0,0,315,303,12,10,17,0,0,0,10178,23548,16211,0,0,70,0,280,0,0,0,1537,712,1887,712,0,0,1036,100,25935,14841,15006,14841,112,0,513,259,-227,32,0,0,0,251,-15,75,-9,2200,-1350,708,-487,1944,-269,5178,-2130,0,1418,945,236,0,0,16227,9708,9921,9270,7564,1175
2022-06-01,2,,,2022-06-01T23:55:16,37250,24871,13081,3460,9807,9641,10679,1752,4836,365,7737,751,5309,6385,4454,4943,2821,2122,1992,478,478,0,0,315,303,12,12,17,0,0,0,10096,23162,16464,0,0,70,0,280,0,0,0,1537,167,1887,167,0,0,1036,100,26017,14381,14611,14381,115,0,513,259,-226,33,0,0,0,226,-15,75,-15,2027,-1350,705,-500,1944,-405,4977,-2285,0,1418,945,236,0,0,15766,10251,10490,9278,6923,1720
2022-06-01,3,,,2022-06-01T23:55:16,37250,24859,13081,3460,9807,9641,10679,1752,4539,361,7737,751,5311,6392,4446,4943,2835,2108,2203,478,478,0,0,315,303,12,12,17,0,0,0,10110,22858,16663,0,0,70,0,280,0,0,0,1537,167,1887,167,0,0,1036,100,26003,13968,14175,13968,114,0,513,259,-226,33,0,0,0,258,-50,120,-50,2177,-1350,735,-500,1944,-985,5234,-2935,0,1418,945,236,0,0,15353,10650,10891,9410,6421,1720
2022-06-01,4,,,2022-06-01T23:55:16,37250,24836,13081,3440,9807,9641,10679,1752,4515,536,7737,751,5314,6395,4726,4943,2881,2062,2025,478,478,0,0,315,303,12,12,17,0,0,0,10136,22791,16940,102,0,110,0,430,0,0,0,1537,167,2179,167,0,0,1036,100,25978,13986,14061,13986,117,0,513,259,-226,33,0,0,0,111,-50,121,-50,2102,-1350,738,-500,1844,-1238,4916,-3188,0,1418,945,236,0,0,15371,10607,10850,9749,6076,2012
2022-06-01,5,,,2022-06-01T23:55:16,37250,24575,13081,3440,9807,9661,10679,1752,4274,735,7737,751,5316,6361,4950,4943,3145,1798,1792,478,478,0,0,315,303,12,12,17,0,0,0,10393,22253,17151,0,0,70,0,280,0,0,0,1537,167,1887,167,0,0,1036,100,25720,14538,14538,14135,100,1,513,259,-209,49,0,0,0,127,-50,123,-50,2147,-1350,785,-500,1683,-1077,4865,-3027,0,1418,945,236,0,0,15907,9813,10037,8443,5311,1720
2022-06-01,6,,,2022-06-01T23:55:16,37250,24562,13081,3440,9807,9661,10679,1752,4801,1033,7737,792,5323,6369,5115,4943,3176,1767,1602,478,466,12,13,315,303,12,12,17,0,0,0,10453,22767,17435,0,0,70,0,280,0,0,0,1737,167,2087,167,0,0,1036,100,25661,15592,15592,15030,95,28,513,259,-196,63,0,0,0,116,-66,108,-74,1972,-1350,783,-500,1283,-306,4262,-2296,0,1418,945,236,0,0,16947,8714,8970,8103,5527,1920
2022-06-01,7,,,2022-06-01T23:55:16,37250,23488,13081,3440,9807,9661,10679,2772,5325,1077,7737,763,5569,6371,5706,4943,3509,1433,1597,478,433,45,48,315,303,12,12,17,0,0,0,11718,22993,18100,0,0,70,0,280,0,0,0,1672,537,2022,537,0,0,1036,100,24395,16733,16733,16311,77,95,513,193,-193,0,0,0,0,100,-50,118,-75,2002,-1350,613,-500,1283,-108,4116,-2083,0,1418,945,236,0,0,18151,6244,6755,7057,5086,1485
2022-06-01,8,,,2022-06-01T23:55:16,37250,23397,13081,3450,9807,9661,10679,2772,5620,1314,7737,751,5329,6599,5807,4943,3423,1520,1439,478,359,119,121,315,303,12,12,17,0,0,0,11560,23676,18354,0,0,70,0,280,0,0,0,1664,1193,2014,1193,0,0,1036,100,24553,17720,17720,17404,78,216,513,193,-193,0,0,0,0,132,-75,118,-75,1912,-1350,616,-500,645,-39,3423,-2039,0,1473,1000,250,0,0,19193,5360,5677,6690,5515,821
2022-06-01,9,,,2022-06-01T23:55:16,37250,24034,13081,3450,9807,9651,10679,2772,5620,1650,7737,855,5957,6541,5871,4943,3496,1446,1371,478,277,201,196,315,303,12,12,17,0,0,0,11654,23626,18750,0,0,70,0,280,0,0,0,1664,1345,2014,1345,0,0,1036,100,24459,18436,18709,18436,77,356,513,193,-193,0,0,0,0,167,-75,166,-75,2002,-1350,720,-388,645,-39,3700,-1927,0,1473,1000,250,0,0,19909,4550,5598,5651,5069,669
2022-06-01,10,,,2022-06-01T23:55:16,37250,23823,13081,3450,9807,9651,10679,2772,5783,2223,7737,855,5861,6581,5870,4943,3645,1298,1256,478,244,234,250,315,303,12,12,17,0,0,0,11766,23715,19262,0,0,70,0,280,0,0,0,1730,1344,2080,1344,0,0,1036,100,24347,18982,19122,18982,80,414,513,99,-99,0,0,0,0,149,-75,129,-75,2011,-1350,761,-481,645,-39,3695,-2020,0,1473,1000,250,0,0,20455,3892,4841,5299,4552,736
2022-06-01,11,,,2022-06-01T23:55:16,37250,23901,13081,3450,9807,9651,10679,2772,5894,2254,7737,747,5968,6595,5907,4943,3663,1280,1238,478,255,223,265,315,303,12,12,17,0,0,0,11689,23810,19327,0,0,70,0,560,0,0,0,1676,1035,2306,1035,0,0,1036,100,24424,18761,18872,18761,61,411,513,99,-99,0,0,0,0,149,-75,135,-95,2225,-1350,751,-500,645,-39,3905,-2059,0,1473,1000,250,0,0,20234,4190,5140,5870,4582,1271
2022-06-01,12,,,2022-06-01T23:55:16,37250,23901,13081,3450,9807,9651,10679,2772,5897,2103,7737,747,5911,6580,5865,4943,3604,1339,1296,478,257,221,242,315,303,12,12,17,0,0,0,11633,23856,19168,0,0,0,0,560,0,0,0,1776,727,2336,727,0,0,1036,100,24481,18187,18474,18187,60,423,513,99,-99,0,0,0,0,160,-86,143,-103,2344,-1350,790,-500,645,-39,4082,-2078,0,1473,1000,250,0,0,19660,4821,5714,6344,4787,1609
2022-06-01,13,,,2022-06-01T23:55:16,37250,23613,13081,3450,9807,9651,10679,2772,5644,2243,7737,747,5740,6580,5622,4943,3848,1095,1059,478,280,198,190,315,303,12,12,17,0,0,0,11895,23336,18777,0,0,0,0,560,0,0,0,1951,1405,2511,1405,0,150,1036,100,24368,17911,18049,17911,76,440,513,218,-215,3,699,-699,0,261,-137,199,-40,2443,-1350,818,-500,671,-65,4392,-2092,0,1473,1000,250,0,0,19382,4987,5702,7242,5473,1106
2022-06-01,14,,,2022-06-01T23:55:16,37250,23569,13081,3450,9807,9651,10679,2772,5641,2075,7737,747,5720,6571,5638,4943,3877,1066,1031,478,280,199,186,315,298,17,17,17,0,0,0,11917,23300,18597,4,0,70,63,560,0,0,0,1951,1415,2585,1478,0,150,1036,100,24346,18264,18313,18264,73,446,513,218,-215,3,699,-699,0,220,-146,174,-94,2447,-1350,748,-500,671,-65,4260,-2155,0,1473,1000,250,0,0,19735,4612,5305,7016,5618,1107
2022-06-01,15,,,2022-06-01T23:55:16,37250,23710,13081,3495,9807,9651,10679,2772,5397,2363,7737,747,5954,6579,5714,4943,3906,1037,1003,478,307,172,199,315,290,25,25,17,0,0,0,12009,23016,18955,0,0,0,0,560,0,0,0,1897,1361,2457,1361,0,150,1036,100,24254,18463,18628,18463,67,447,513,218,-215,3,699,-699,0,220,-92,179,-98,2419,-1350,731,-500,671,-65,4220,-2105,0,1473,1000,250,0,0,19934,4321,5247,6289,4976,1096
2022-06-01,16,,,2022-06-01T23:55:16,37250,23897,13081,3495,9807,9641,10679,2772,5342,2406,7737,752,5897,6575,5672,4943,3642,1301,1258,478,327,151,167,315,290,25,25,17,0,0,0,11775,23201,19169,0,0,74,45,564,0,0,0,1977,1441,2615,1486,0,150,1036,100,24488,18793,18994,18793,53,420,513,218,-215,3,699,-699,0,220,-146,174,-94,2438,-1350,694,-500,671,-65,4197,-2155,0,1473,1000,250,0,0,20264,4225,5104,6266,4946,1129
2022-06-01,17,,,2022-06-01T23:55:16,37250,24493,13081,3465,9807,9611,10679,2692,5352,2565,7737,752,5970,6567,5679,4943,3190,1753,1597,478,366,112,127,315,290,25,25,17,0,0,0,11262,23617,19603,0,0,70,36,560,0,0,0,1977,1441,2607,1477,0,150,1036,100,25001,19195,19254,19195,54,322,513,218,-215,3,699,-699,0,220,-126,179,-99,2341,-1450,573,-413,671,-65,3984,-2153,0,1473,1000,250,0,0,20666,4336,5298,6414,4929,1130
2022-06-01,18,,,2022-06-01T23:55:16,37250,24499,13081,3465,9807,9651,10679,2692,5358,2452,7737,752,6248,6575,5752,4943,3429,1514,1598,478,399,79,78,315,290,25,25,17,0,0,0,11529,23358,19555,0,0,0,0,610,0,0,0,1977,1441,2587,1441,0,150,1036,100,24734,19181,19188,19181,54,200,513,218,-215,3,699,-699,0,220,-96,159,-99,2271,-1450,665,-365,671,-65,3986,-2075,0,1473,1000,250,0,0,20652,4083,5318,6201,4717,1146
2022-06-01,19,,,2022-06-01T23:55:16,37250,24193,13081,3465,9807,9641,10679,2692,5348,2376,7737,709,6424,6574,5808,4943,3869,1073,1038,478,441,38,37,315,290,25,25,17,0,0,0,11959,22865,18925,0,0,0,0,610,0,150,0,1897,1361,2657,1361,0,150,1036,100,24304,18683,18932,18683,62,74,513,218,-215,3,699,-699,0,136,-28,130,-36,2159,-1450,801,-426,671,-65,3897,-2005,0,1473,1000,250,0,0,20154,4151,5510,6034,4854,1296
2022-06-01,20,,,2022-06-01T23:55:16,37250,25132,13081,3465,9807,9641,10679,1672,5368,1549,7737,709,6366,6572,5752,4943,3862,1081,1046,478,471,7,7,315,290,25,25,17,0,0,0,10982,22859,18020,0,0,0,0,560,0,150,0,1897,1361,2607,1361,0,150,1036,100,25281,17912,18298,17912,54,12,513,218,-215,3,699,-699,0,116,-8,130,-36,2132,-1450,751,-316,671,-65,3800,-1875,0,1473,1000,250,0,0,19383,5899,7220,6612,5754,1246
2022-06-01,21,,,2022-06-01T23:55:16,37250,25037,13081,3465,9807,9641,10679,1672,4854,1234,7737,709,6301,6572,5768,4943,3885,1058,1023,478,478,0,0,315,290,25,25,17,0,0,0,11011,22315,17691,66,0,0,0,280,0,150,0,1937,1162,2433,1162,0,150,1036,100,25252,17217,17565,17217,56,1,513,281,-215,66,699,-699,0,286,-28,284,-20,2039,-1450,628,-463,645,-39,3882,-2000,0,1473,1000,250,0,0,18625,6628,7820,6690,5539,1271
2022-06-01,22,,,2022-06-01T23:55:16,37250,24645,13081,3465,9807,9641,10679,1672,4562,988,7737,709,6224,6577,5753,4943,4042,901,871,478,478,0,0,315,298,17,17,17,0,0,0,11173,21863,17270,0,0,0,0,280,0,0,0,1529,469,1809,469,0,0,1036,100,24940,16281,16749,16281,64,0,513,256,-193,63,0,0,0,137,-28,209,-35,1861,-1450,672,-442,645,-39,3524,-1994,0,1473,1000,250,0,0,17691,7249,8364,5706,4786,1340
2022-06-01,23,,,2022-06-01T23:55:16,37250,24029,13081,3465,9807,9641,10679,1672,4860,502,7737,709,5614,6585,5502,4943,4043,900,871,478,478,0,0,315,303,12,12,17,0,0,0,11179,22163,16528,0,0,0,0,280,0,0,0,1662,237,1942,237,0,0,1036,100,24934,15055,15668,15055,63,0,513,256,-193,63,0,0,0,238,-62,259,-80,1853,-1450,653,-366,783,-177,3786,-2135,0,1418,945,236,0,0,16410,8524,8974,7275,5829,1705
2022-06-01,24,,,2022-06-01T23:55:16,37250,23961,13081,3465,9807,9641,10679,1672,5161,361,7737,703,5296,6357,5173,4943,3793,1150,1113,478,478,0,0,315,303,12,12,17,0,0,0,10929,22486,16300,0,0,0,0,280,0,0,0,1529,158,1809,158,0,0,1036,100,25184,13792,14424,13792,73,0,513,256,-223,33,0,0,0,228,-92,363,-121,2225,-1450,818,-500,1435,-673,5069,-2836,0,1418,945,236,0,0,15177,10007,10169,8709,6410,1651
