Date,Hour,Nuclear,Gas,Hydro,Wind,Solar,Biofuel,Total
2022-01-01,1,10474,163,3872,458,0,5,14972
2022-01-01,2,10480,202,4076,300,0,0,15058
2022-01-01,3,10481,183,3570,320,0,0,14554
2022-01-01,4,10483,123,3332,348,0,1,14287
2022-01-01,5,10485,123,3067,267,0,1,13943
2022-01-01,6,10484,126,3158,687,0,4,14459
2022-01-01,7,10482,127,3124,965,0,8,14706
2022-01-01,8,10478,124,3234,1412,0,10,15258
2022-01-01,9,10479,123,3427,1073,4,9,15115
2022-01-01,10,10477,123,3593,1506,12,2,15713
2022-01-01,11,10475,134,4119,1822,14,5,16569
2022-01-01,12,10479,186,4261,2165,18,6,17115
2022-01-01,13,10478,246,4363,2344,17,4,17452
2022-01-01,14,10476,347,4183,2510,15,0,17531
2022-01-01,15,10473,420,4033,2797,11,0,17734
2022-01-01,16,10470,532,4114,2570,5,0,17691
2022-01-01,17,10478,540,4487,2599,0,0,18104
2022-01-01,18,10477,589,4721,2585,0,0,18372
2022-01-01,19,10473,574,4667,2653,0,0,18367
2022-01-01,20,10477,584,4650,2738,0,0,18449
2022-01-01,21,10467,568,4318,2817,0,0,18170
2022-01-01,22,10469,216,4124,2956,0,0,17765
2022-01-01,23,10472,125,3548,2953,0,0,17098
2022-01-01,24,10470,123,3481,2809,0,0,16883
2022-01-02,1,10474,123,3066,2889,0,0,16552
2022-01-02,2,10474,123,3078,2821,0,0,16496
2022-01-02,3,10475,124,2904,2746,0,0,16249
2022-01-02,4,10473,129,3031,2702,0,0,16335
2022-01-02,5,10476,182,2939,2690,0,0,16287
2022-01-02,6,10478,328,2986,2764,0,0,16556
2022-01-02,7,10475,591,2982,2532,0,0,16580
2022-01-02,8,10473,1025,3038,2348,0,0,16884
2022-01-02,9,10468,1186,3208,2199,2,0,17063
2022-01-02,10,10462,1227,3592,2238,4,0,17523
2022-01-02,11,10465,1286,3815,2193,10,2,17771
2022-01-02,12,10461,1405,3720,2274,19,3,17882
2022-01-02,13,10460,1689,3849,2226,22,0,18246
2022-01-02,14,10428,1614,3781,2137,25,0,17985
2022-01-02,15,10420,1623,4048,1922,21,0,18034
2022-01-02,16,10423,1837,4050,1706,10,0,18026
2022-01-02,17,10428,2009,4788,1397,1,0,18623
2022-01-02,18,10435,2875,5256,1252,0,0,19818
2022-01-02,19,10445,2825,5094,1349,0,0,19713
2022-01-02,20,10445,2663,4708,1296,0,0,19112
2022-01-02,21,10442,2498,4708,1097,0,0,18745
2022-01-02,22,10445,2398,4519,987,0,1,18350
2022-01-02,23,10441,2170,3932,898,0,11,17452
2022-01-02,24,10444,1931,3769,796,0,39,16979
2022-01-03,1,10442,1730,3403,664,0,53,16292
2022-01-03,2,10447,1682,3182,567,0,51,15929
2022-01-03,3,10447,1955,3215,383,0,51,16051
2022-01-03,4,10449,2394,3178,373,0,51,16445
2022-01-03,5,10444,2396,3226,526,0,51,16643
2022-01-03,6,10444,2297,3152,757,0,51,16701
2022-01-03,7,10441,2583,3901,814,0,53,17792
2022-01-03,8,10442,3575,4458,624,0,53,19152
2022-01-03,9,10441,3552,4626,595,3,53,19270
2022-01-03,10,10444,3815,4735,426,13,53,19486
2022-01-03,11,10444,4438,4472,425,27,53,19859
2022-01-03,12,10443,4529,4190,408,41,54,19665
2022-01-03,13,10382,4105,4112,507,54,53,19213
2022-01-03,14,10319,3862,4103,596,60,53,18993
2022-01-03,15,10338,3524,4123,732,54,53,18824
2022-01-03,16,10337,3721,4624,832,28,53,19595
2022-01-03,17,10326,4260,5154,1026,9,54,20829
2022-01-03,18,10322,5197,5289,1288,0,54,22150
2022-01-03,19,10332,4640,5247,1517,0,54,21790
2022-01-03,20,10334,3498,4911,2039,0,54,20836
2022-01-03,21,10337,3102,4574,2390,0,54,20457
2022-01-03,22,10338,2158,3817,2733,0,54,19100
2022-01-03,23,10336,1227,3086,3096,0,54,17799
2022-01-03,24,10333,598,2979,3135,0,53,17098
2022-01-04,1,10332,508,3036,3264,0,54,17194
2022-01-04,2,10326,517,2866,3267,0,66,17042
2022-01-04,3,10154,703,2840,3155,0,69,16921
2022-01-04,4,9998,1067,3138,3060,0,70,17333
2022-01-04,5,10000,1711,3136,2861,0,70,17778
2022-01-04,6,9997,2601,3430,2369,0,73,18470
2022-01-04,7,9998,3715,3589,1875,0,80,19257
2022-01-04,8,9999,3976,4298,2042,1,85,20401
2022-01-04,9,10005,4089,4332,2268,4,85,20783
2022-01-04,10,10002,3681,4444,2471,20,85,20703
2022-01-04,11,10003,2739,4287,2714,44,84,19871
2022-01-04,12,10018,2502,4013,2592,67,85,19277
2022-01-04,13,9999,2705,3897,2448,84,88,19221
2022-01-04,14,9998,2165,3827,2753,128,84,18955
2022-01-04,15,9994,1957,4141,2837,108,55,19092
2022-01-04,16,9992,1991,4674,2764,47,32,19500
2022-01-04,17,9994,2154,5226,2910,8,32,20324
2022-01-04,18,9995,2808,5371,3071,0,35,21280
2022-01-04,19,9998,2356,5201,3153,0,36,20744
2022-01-04,20,9995,2342,4984,3357,0,40,20718
2022-01-04,21,9999,2116,4514,3559,0,42,20230
2022-01-04,22,10012,1151,3783,3706,0,34,18686
2022-01-04,23,10022,942,3289,3793,0,25,18071
2022-01-04,24,10020,602,3043,3819,0,28,17512
2022-01-05,1,10023,213,2694,3615,0,21,16566
2022-01-05,2,10020,128,2658,3474,0,17,16297
2022-01-05,3,10020,126,2643,2922,0,17,15728
2022-01-05,4,10023,126,2755,2329,0,18,15251
2022-01-05,5,10020,126,2839,2476,0,18,15479
2022-01-05,6,10016,137,2912,2834,0,20,15919
2022-01-05,7,10020,240,2993,3061,0,26,16340
2022-01-05,8,10022,468,3448,3578,0,33,17549
2022-01-05,9,10023,642,3639,3350,4,33,17691
2022-01-05,10,10021,727,3704,3937,15,32,18436
2022-01-05,11,10017,821,4308,4014,18,31,19209
2022-01-05,12,10019,1475,4266,4061,29,31,19881
2022-01-05,13,10018,1731,4205,4041,28,31,20054
2022-01-05,14,10016,1654,3664,3938,20,31,19323
2022-01-05,15,10013,1375,4151,4119,12,32,19702
2022-01-05,16,10018,1244,3911,4212,7,31,19423
2022-01-05,17,10012,1375,4205,4264,3,32,19891
2022-01-05,18,10010,1578,4569,4235,0,33,20425
2022-01-05,19,10019,1555,4177,4338,0,33,20122
2022-01-05,20,10010,1086,3776,4372,0,32,19276
2022-01-05,21,10013,797,4106,4384,0,27,19327
2022-01-05,22,10012,614,3523,4357,0,22,18528
2022-01-05,23,10010,542,3372,4142,0,46,18112
2022-01-05,24,10009,245,3238,4093,0,65,17650
2022-01-06,1,10006,129,3389,3804,0,65,17393
2022-01-06,2,10000,131,3401,3880,0,64,17476
2022-01-06,3,10005,138,3396,3974,0,64,17577
2022-01-06,4,10013,282,3415,3807,0,65,17582
2022-01-06,5,10020,646,3326,3676,0,65,17733
2022-01-06,6,10021,1246,3302,3383,0,67,18019
2022-01-06,7,10018,1547,3573,3095,1,72,18306
2022-01-06,8,10006,1977,4072,2976,2,79,19112
2022-01-06,9,9995,1995,4796,2806,9,79,19680
2022-01-06,10,9986,2179,4829,2595,58,80,19727
2022-01-06,11,9978,2318,4578,2515,91,81,19561
2022-01-06,12,9972,2419,4875,2313,109,82,19770
2022-01-06,13,9969,2563,5013,1991,139,84,19759
2022-01-06,14,9971,2736,5022,1611,132,84,19556
2022-01-06,15,9956,2889,4948,1411,65,82,19351
2022-01-06,16,9956,3093,5337,1315,28,82,19811
2022-01-06,17,9968,3687,5962,1141,5,80,20843
2022-01-06,18,9965,4565,5961,987,1,81,21560
2022-01-06,19,9979,4115,5916,1003,0,82,21095
2022-01-06,20,9978,4133,5467,1018,0,83,20679
2022-01-06,21,9978,4357,5263,1052,0,83,20733
2022-01-06,22,9971,3868,4772,1054,0,81,19746
2022-01-06,23,9982,2830,4367,1151,0,83,18413
2022-01-06,24,9988,2337,3998,1222,0,75,17620
2022-01-07,1,9981,2068,3614,1162,0,67,16892
2022-01-07,2,9992,1850,3454,1280,0,66,16642
2022-01-07,3,9990,1779,3469,1446,0,66,16750
2022-01-07,4,9991,1668,3310,1636,0,66,16671
2022-01-07,5,9995,1606,3178,1708,0,66,16553
2022-01-07,6,9992,1899,3535,1879,0,28,17333
2022-01-07,7,9992,2694,3985,1902,0,25,18598
2022-01-07,8,9990,3514,4420,1988,1,31,19944
2022-01-07,9,9986,3622,4901,1894,11,31,20445
2022-01-07,10,9990,3920,4688,1823,64,32,20517
2022-01-07,11,9996,3118,4642,1980,171,32,19939
2022-01-07,12,10000,2761,4626,1996,229,32,19644
2022-01-07,13,9996,2575,4676,2018,228,32,19525
2022-01-07,14,9995,2386,4709,2139,157,31,19417
2022-01-07,15,10008,2489,4373,2301,132,31,19334
2022-01-07,16,10023,2706,4339,2417,102,31,19618
2022-01-07,17,10022,3002,5225,2328,20,31,20628
2022-01-07,18,10026,4335,5775,1763,1,32,21932
2022-01-07,19,10028,4414,5692,1457,0,32,21623
2022-01-07,20,10029,4400,5378,1303,0,32,21142
2022-01-07,21,10030,4639,4977,1108,0,32,20786
2022-01-07,22,10030,4441,4511,949,0,32,19963
2022-01-07,23,10035,4423,4138,750,0,32,19378
2022-01-07,24,10034,3915,3998,706,0,21,18674
2022-01-08,1,10032,3425,3795,683,0,0,17935
2022-01-08,2,10034,3362,3598,623,0,0,17617
2022-01-08,3,10033,3088,3568,701,0,0,17390
2022-01-08,4,10033,3017,3580,741,0,0,17371
2022-01-08,5,10030,3205,3469,842,0,0,17546
2022-01-08,6,10028,3320,3591,974,0,0,17913
2022-01-08,7,10026,2421,3613,1411,0,0,17471
2022-01-08,8,10021,2475,3851,2169,3,0,18519
2022-01-08,9,10024,2481,3714,1805,23,0,18047
2022-01-08,10,10025,2562,3605,1955,58,0,18205
2022-01-08,11,10025,2271,3480,2152,125,0,18053
2022-01-08,12,10029,2150,3210,2584,164,0,18137
2022-01-08,13,10026,2139,3180,2825,199,0,18369
2022-01-08,14,10033,2120,3077,3128,228,0,18586
2022-01-08,15,10032,1904,3441,3331,193,0,18901
2022-01-08,16,10032,1916,3995,3313,82,0,19338
2022-01-08,17,10029,2078,4656,3235,18,0,20016
2022-01-08,18,10029,2982,5067,3325,1,0,21404
2022-01-08,19,10033,2810,4568,3659,0,0,21070
2022-01-08,20,10034,2112,4062,4017,0,0,20225
2022-01-08,21,10033,1714,3601,4099,0,0,19447
2022-01-08,22,10028,974,3317,4135,0,0,18454
2022-01-08,23,10031,410,3400,4031,0,17,17889
2022-01-08,24,10032,151,3339,3919,0,50,17491
2022-01-09,1,10039,126,2936,3621,0,53,16775
2022-01-09,2,10038,126,3200,3487,0,52,16903
2022-01-09,3,10032,125,2794,3267,0,52,16270
2022-01-09,4,10031,126,2791,3037,0,52,16037
2022-01-09,5,10036,125,2784,3384,0,53,16382
2022-01-09,6,10032,125,2803,3243,0,53,16256
2022-01-09,7,10038,125,2920,3351,0,52,16486
2022-01-09,8,10038,129,3247,3680,0,52,17146
2022-01-09,9,10033,131,3582,3677,0,52,17475
2022-01-09,10,10031,210,3602,3823,4,52,17722
2022-01-09,11,10036,227,3687,3822,18,52,17842
2022-01-09,12,10032,507,3527,3909,27,54,18056
2022-01-09,13,10037,879,3514,3703,51,54,18238
2022-01-09,14,10032,1100,3482,3339,56,54,18063
2022-01-09,15,10034,1196,3516,2984,51,54,17835
2022-01-09,16,9992,1356,3614,2633,30,54,17679
2022-01-09,17,10032,1502,3756,2642,13,54,17999
2022-01-09,18,10035,1507,3747,3438,0,54,18781
2022-01-09,19,10032,1492,3855,3253,0,54,18686
2022-01-09,20,10034,1258,3658,3366,0,55,18371
2022-01-09,21,10029,1164,3649,3641,0,54,18537
2022-01-09,22,10026,697,3858,3868,0,53,18502
2022-01-09,23,10022,216,3796,3997,0,11,18042
2022-01-09,24,10017,141,3257,3921,0,0,17336
2022-01-10,1,10035,148,3457,3722,0,0,17362
2022-01-10,2,10039,190,3692,3581,0,7,17509
2022-01-10,3,10038,205,3492,3702,0,15,17452
2022-01-10,4,10040,265,3560,3551,0,14,17430
2022-01-10,5,10035,653,3682,3285,0,15,17670
2022-01-10,6,10035,896,3664,3096,0,18,17709
2022-01-10,7,10036,1578,3501,2984,0,27,18126
2022-01-10,8,10028,1932,4453,2914,2,32,19361
2022-01-10,9,10031,2086,4741,2960,12,32,19862
2022-01-10,10,10033,2097,4369,3265,44,33,19841
2022-01-10,11,10035,2082,3995,3224,103,32,19471
2022-01-10,12,10020,2098,4181,3552,134,31,20016
2022-01-10,13,10035,2184,4215,3542,162,31,20169
2022-01-10,14,10036,2329,4320,3596,132,31,20444
2022-01-10,15,10030,2504,4250,3819,98,32,20733
2022-01-10,16,10022,2670,4406,3805,50,33,20986
2022-01-10,17,10016,2748,4537,3872,18,31,21222
2022-01-10,18,10019,2850,5361,3983,1,31,22245
2022-01-10,19,10020,2923,5089,4024,0,32,22088
2022-01-10,20,10026,2855,4769,4002,0,31,21683
2022-01-10,21,10017,2609,4951,3913,0,36,21526
2022-01-10,22,10021,2432,4260,3045,0,31,19789
2022-01-10,23,10021,2284,3839,2615,0,31,18790
2022-01-10,24,10023,2261,3664,2458,0,22,18428
2022-01-11,1,10029,2240,3549,2349,0,17,18184
2022-01-11,2,10035,2126,3201,1504,0,17,16883
2022-01-11,3,10033,2167,3188,1081,0,17,16486
2022-01-11,4,10037,2256,3693,1055,0,17,17058
2022-01-11,5,10029,3016,3974,859,0,16,17894
2022-01-11,6,10030,3261,4646,704,0,18,18659
2022-01-11,7,10028,4452,5211,655,0,24,20370
2022-01-11,8,10028,4903,5420,830,1,27,21209
2022-01-11,9,10024,5297,5665,831,9,27,21853
2022-01-11,10,10022,5976,5641,861,32,28,22560
2022-01-11,11,10023,5883,5435,983,61,29,22414
2022-01-11,12,10024,5278,4914,1366,60,30,21672
2022-01-11,13,10014,5002,4509,1788,73,29,21415
2022-01-11,14,9651,4511,4502,2128,101,30,20923
2022-01-11,15,10033,4348,4537,2600,71,32,21621
2022-01-11,16,10034,4273,4761,3127,33,30,22258
2022-01-11,17,10027,4354,4969,3539,10,31,22930
2022-01-11,18,10026,4687,4899,4024,1,34,23671
2022-01-11,19,10033,4383,4787,4208,0,30,23441
2022-01-11,20,10033,4594,4472,4346,0,31,23476
