mkt_datetime,int_nuc_sch,int_gas_sch,int_hyd_sch,int_win_sch,imp_mic_sch,imp_new_sch,imp_que_sch,ont_avg_dem,exp_mic_sch,exp_new_sch,exp_que_sch,ont_ene
2020-01-01 00:00:00,11554,216,2857,2113,0,0,9,13305,-800,-1285,-1273,0.0
2020-01-01 01:00:00,11554,216,2834,1595,0,0,9,12870,-800,-1285,-1273,0.0
2020-01-01 02:00:00,11554,216,2834,1506,0,0,9,12512,-800,-1390,-1273,0.0
2020-01-01 03:00:00,11554,216,2835,1592,0,0,9,12370,-800,-1443,-1273,0.0
2020-01-01 04:00:00,11554,216,2911,1479,0,0,9,12469,-800,-1440,-1273,0.0
2020-01-01 05:00:00,11554,216,2917,1561,0,0,9,12584,-800,-1417,-1273,0.0
2020-01-01 06:00:00,11554,216,3061,1430,0,0,9,12874,-800,-1404,-1273,0.0
2020-01-01 07:00:00,11554,216,3314,1426,0,0,9,13174,-800,-1429,-1273,-0.04
2020-01-01 08:00:00,11554,216,3385,1956,0,0,9,13488,-800,-1729,-1273,0.0
2020-01-01 09:00:00,11554,216,3366,2205,0,0,9,13837,-800,-1621,-1273,0.0
2020-01-01 10:00:00,11554,216,3410,1818,0,0,9,14121,-800,-1100,-1273,0.0
2020-01-01 11:00:00,11554,216,3372,2121,0,0,9,14372,-800,-1100,-1273,0.0
2020-01-01 12:00:00,11554,216,3373,2315,0,0,9,14560,-800,-1100,-1273,2.92
2020-01-01 13:00:00,11604,216,3305,2186,0,0,9,14639,-800,-1100,-1273,1.8
2020-01-01 14:00:00,11554,216,3327,2490,0,0,9,14902,-800,-1100,-1180,0.0
2020-01-01 15:00:00,11604,216,3639,2416,0,0,9,15392,-800,-1100,-482,0.0
2020-01-01 16:00:00,11604,216,4011,2539,0,0,9,16007,-800,-1100,-176,1.39
2020-01-01 17:00:00,11604,216,4520,2503,0,0,9,16838,-800,-1100,-176,5.44
2020-01-01 18:00:00,11604,216,4273,2650,0,0,9,16694,-800,-1291,-176,1.72
2020-01-01 19:00:00,11604,216,3608,2940,0,0,9,16232,-800,-1300,-176,0.0
2020-01-01 20:00:00,11604,220,3504,3215,0,0,9,15901,-800,-1300,-503,0.0
2020-01-01 21:00:00,11604,216,3441,3451,0,0,9,15386,-800,-1401,-1076,0.0
2020-01-01 22:00:00,11604,216,3326,3189,0,0,9,14602,-900,-1401,-1273,0.0
2020-01-01 23:00:00,11604,216,3123,2246,0,0,9,13828,-900,-1155,-1273,0.0
2020-01-02 00:00:00,11604,216,3107,1877,0,0,9,13237,-900,-1339,-1273,-0.04
2020-01-02 01:00:00,11604,216,3104,1639,0,0,9,12873,-900,-1444,-1273,-0.12
2020-01-02 02:00:00,11604,216,3105,1387,0,0,9,12612,-900,-1450,-1273,-2.86
2020-01-02 03:00:00,11604,216,3095,1037,0,0,9,12521,-900,-1349,-1273,-3.0
2020-01-02 04:00:00,11604,216,3180,1272,0,0,9,12587,-900,-1400,-1273,-0.1
2020-01-02 05:00:00,11604,216,3382,2114,0,0,9,12943,-900,-1450,-1273,-0.03
2020-01-02 06:00:00,11604,216,3369,2832,0,0,9,13998,-900,-1400,-1273,0.0
2020-01-02 07:00:00,11604,216,3784,3394,0,0,9,15162,-900,-1621,-1178,1.73
2020-01-02 08:00:00,11604,254,3841,3330,0,0,9,15679,-900,-1750,-1078,0.0
2020-01-02 09:00:00,11604,254,3864,3479,0,0,9,15765,-900,-1750,-1078,0.39
2020-01-02 10:00:00,11604,275,3886,3564,0,0,9,15829,-900,-1750,-1083,0.0
2020-01-02 11:00:00,11604,275,3807,3209,0,0,9,15705,-900,-1400,-1273,0.0
2020-01-02 12:00:00,11604,254,3660,2512,0,0,9,15544,-900,-850,-1273,0.0
2020-01-02 13:00:00,11604,254,3655,2819,0,82,9,15796,-900,-932,-1273,0.0
2020-01-02 14:00:00,11604,254,3683,3150,0,82,9,16020,-900,-932,-1273,0.0
2020-01-02 15:00:00,11604,254,3695,3434,0,50,9,16150,-900,-900,-1273,0.0
2020-01-02 16:00:00,11604,254,3827,3558,0,50,9,16769,-900,-900,-559,0.0
2020-01-02 17:00:00,11604,254,4058,3489,0,50,9,17420,-900,-650,-654,0.0
2020-01-02 18:00:00,11604,220,3953,3534,0,132,9,17341,-900,-732,-675,1.6
2020-01-02 19:00:00,11604,216,3842,3604,0,107,9,17232,-900,-707,-735,2.67
2020-01-02 20:00:00,11604,216,3611,3413,0,107,9,16952,-900,-707,-607,0.0
2020-01-02 21:00:00,11604,216,3573,3231,0,50,9,16258,-900,-650,-920,0.0
2020-01-02 22:00:00,11604,216,3476,3020,0,50,9,15421,-900,-850,-1273,0.0
2020-01-02 23:00:00,11604,216,3116,2477,0,0,9,14478,-900,-800,-1273,0.0
2020-01-03 00:00:00,11604,216,3021,1629,0,0,9,13519,-900,-800,-1273,-0.04
2020-01-03 01:00:00,11604,216,3017,1163,0,0,48,12956,-900,-927,-1312,-0.01
2020-01-03 02:00:00,11604,216,3118,956,0,0,48,12784,-900,-1000,-1312,0.0
2020-01-03 03:00:00,11604,256,3115,1116,0,0,9,12628,-900,-1000,-1273,-0.04
2020-01-03 04:00:00,11604,276,3198,1297,0,0,9,12632,-900,-1337,-1273,0.0
2020-01-03 05:00:00,11644,301,3383,1624,0,0,9,12906,-900,-1362,-1055,4.3
2020-01-03 06:00:00,11644,321,3862,1437,0,0,9,14038,-900,-1304,-299,3.18
2020-01-03 07:00:00,12129,376,4248,936,0,0,9,15265,-900,-1186,-178,10.17
2020-01-03 08:00:00,11629,444,4410,936,0,0,9,15660,-830,-865,-178,14.37
2020-01-03 09:00:00,11644,464,4187,929,0,0,9,15929,-773,-492,-178,22.13
2020-01-03 10:00:00,11664,660,4530,784,0,0,9,16139,-874,-642,-178,86.16
2020-01-03 11:00:00,11644,891,4539,441,0,60,9,16205,-892,-525,-178,30.77
