mkt_datetime,int_nuc_sch,int_gas_sch,int_hyd_sch,int_win_sch,imp_mic_sch,imp_new_sch,imp_que_sch,ont_avg_dem,exp_mic_sch,exp_new_sch,exp_que_sch
2020-01-01T00:00,11554,216,2857,2113,0,0,9,13305,-800,-1285,-1273
2020-01-01T01:00,11554,216,2834,1595,0,0,9,12870,-800,-1285,-1273
2020-01-01T02:00,11554,216,2834,1506,0,0,9,12512,-800,-1390,-1273
2020-01-01T03:00,11554,216,2835,1592,0,0,9,12370,-800,-1443,-1273
2020-01-01T04:00,11554,216,2911,1479,0,0,9,12469,-800,-1440,-1273
2020-01-01T05:00,11554,216,2917,1561,0,0,9,12584,-800,-1417,-1273
2020-01-01T06:00,11554,216,3061,1430,0,0,9,12874,-800,-1404,-1273
2020-01-01T07:00,11554,216,3314,1426,0,0,9,13174,-800,-1429,-1273
2020-01-01T08:00,11554,216,3385,1956,0,0,9,13488,-800,-1729,-1273
2020-01-01T09:00,11554,216,3366,2205,0,0,9,13837,-800,-1621,-1273
2020-01-01T10:00,11554,216,3410,1818,0,0,9,14121,-800,-1100,-1273
2020-01-01T11:00,11554,216,3372,2121,0,0,9,14372,-800,-1100,-1273
2020-01-01T12:00,11554,216,3373,2315,0,0,9,14560,-800,-1100,-1273
2020-01-01T13:00,11604,216,3305,2186,0,0,9,14639,-800,-1100,-1273
2020-01-01T14:00,11554,216,3327,2490,0,0,9,14902,-800,-1100,-1180
2020-01-01T15:00,11604,216,3639,2416,0,0,9,15392,-800,-1100,-482
2020-01-01T16:00,11604,216,4011,2539,0,0,9,16007,-800,-1100,-176
2020-01-01T17:00,11604,216,4520,2503,0,0,9,16838,-800,-1100,-176
2020-01-01T18:00,11604,216,4273,2650,0,0,9,16694,-800,-1291,-176
2020-01-01T19:00,11604,216,3608,2940,0,0,9,16232,-800,-1300,-176
2020-01-01T20:00,11604,220,3504,3215,0,0,9,15901,-800,-1300,-503
2020-01-01T21:00,11604,216,3441,3451,0,0,9,15386,-800,-1401,-1076
2020-01-01T22:00,11604,216,3326,3189,0,0,9,14602,-900,-1401,-1273
2020-01-01T23:00,11604,216,3123,2246,0,0,9,13828,-900,-1155,-1273
2020-01-02T00:00,11604,216,3107,1877,0,0,9,13237,-900,-1339,-1273
2020-01-02T01:00,11604,216,3104,1639,0,0,9,12873,-900,-1444,-1273
2020-01-02T02:00,11604,216,3105,1387,0,0,9,12612,-900,-1450,-1273
2020-01-02T03:00,11604,216,3095,1037,0,0,9,12521,-900,-1349,-1273
